what expression would i use to say i love you if i were an italian,translate
"can you tell me how to say 'i do not speak much spanish', in spanish",translate
"what is the equivalent of, 'life is good' in french",translate
"tell me how to say, 'it is a beautiful morning' in italian",translate
"if i were mongolian, how would i say that i am a tourist",translate
how do i say 'hotel' in finnish,translate
"i need you to translate the sentence, 'we will be there soon' into portuguese",translate
please tell me how to ask for a taxi in french,translate
"can you tell me how i would say, 'more bread please' in french",translate
what is the correct way to say 'i am a visitor' in french,translate
"how would i say, 'i don't know the answer' in spanish",translate
i would like to know the proper way to greet an adult in portuguese,translate
what words would i use to tell someone i am lost if i were japanese,translate
how would i say thank you if i were russian,translate
can you tell me how i would normally say thank you as a french person,translate
i would like to know how to say hello in french,translate
if i were english how would i say subway,translate
i would i say subway if i were english,translate
how do you say hi in french,translate
in england how do they say subway,translate
translate hello in french,translate
how is hello said in french,translate
what do you call a subway if you were english,translate
how would i say if i were english subway,translate
how should i say hello in french,translate
how could i say twin in chinese,translate
how can i say not now in spanish,translate
what do spanish people say for the word cow,translate
translate hello to english,translate
how do you say goodbye in spanish,translate
how would i say love in french,translate
could you translate atm machine into english,translate
please translate grocery into french for me,translate
how do germans say goodnight,translate
tell me how the russians say notebook,translate
how do vietnameses people say hello,translate
how do i say thank you in japanese,translate
what is latin for i love you,translate
how can i thank somebody in italian,translate
how do i say you're welcome in chinese,translate
translate hello english to french,translate
what is hello in french,translate
what phrase means goodbye in hawaii,translate
what spanish word means hello,translate
translate hello to french,translate
translate english to french hello,translate
what is the word for hello spanish,translate
how do they say goodbye in hawaii,translate
what's local slang for goodbye in hawaii,translate
how do you say hello in french,translate
tell me how to say hello in spanish,translate
what do i say for goodbye in hawaii,translate
translate hello into french for me,translate
how do i say hello in french,translate
translate for me hello into french,translate
how would they say say goodbye in hawaii,translate
what is spanish for hello,translate
how would i say hello in french,translate
how can i say i love you in italy,translate
what is spanish for good morning,translate
how do you say it's snowing in german,translate
how would you say can i borrow five dollars in portuguese,translate
do you know how to say where is the restroom in french,translate
how would i say pleased to meet you if i were japanese,translate
can you translate hello into swedish for me,translate
can you translate i love you into french for me,translate
can you translate where's the bar into irish for me,translate
how would i say goodbye if i were norwegian,translate
how would i say i love you if i were french,translate
how would i say hello if i were swedish,translate
can you translate good bye into russian for me,translate
can you translate i have to go pee into korean for me,translate
how would i say i'm not guilty if i were mexican,translate
how do you say thank you in spanish,translate
how does one say thank you in spanish,translate
how can i say thank you in spanish,translate
what is thank you in spanish,translate
what is the way to say thank you in spanish,translate
"how do they say ""who is your father"" in german",translate
"how do they say ""where's the bathroom"" in spanish",translate
"how do they say ""how's it going"" in swahili",translate
"how do they say ""i love you"" in japanese",translate
"how do they say ""what's up"" in chinese",translate
how do you say thank you in german,translate
how do you say please in arabic,translate
how do you say cat in spanish,translate
how do you say i'm hungry in french,translate
how do you say i need coffee in dutch,translate
how do they say yes in brazil,translate
can you translate cat into russian for me,translate
can you translate bowl into russian for me,translate
how do they say hello in france,translate
i wanna know a phrase in spanish,translate
can you translate bat into russian for me,translate
how do they say no in germany,translate
can you translate hi into spanish for me,translate
i wanna learn a phrase in russian,translate
how do they say hello in germany,translate
can you translate milk into spanish for me,translate
how do they say hello in brazil,translate
please set a 4 minute timer,timer
please set a timer for 6 minutes,timer
set a timer for 5 minutes,timer
i need a 7 minute timer,timer
i need to set the timer for two minutes,timer
can you set a timer for me for fifteen minutes starting now,timer
start the timer now and stop at thirty minutes,timer
i would like you to set the timer to go off in ten minutes,timer
please set a timer for 40 minutes,timer
